age,jobtype,maritalstatus,educationlevel,indefault,hasmortgage,haspersonalloan,numcampaigncalls,priorcampaignoutcome,conversion
39,admin.,single,unknown,no,no,yes,4,nonexistent,no
43,unemployed,married,basic,no,no,no,2,nonexistent,no
32,services,married,primary,no,unknown,unknown,2,nonexistent,no
37,management,married,college,no,yes,no,1,nonexistent,no
36,technician,married,primary,unknown,yes,no,2,nonexistent,no
50,admin.,married,basic,no,no,no,1,nonexistent,no
30,admin.,single,college,no,no,no,1,nonexistent,no
33,blue-collar,married,basic,no,yes,no,1,nonexistent,no
30,admin.,single,college,no,no,no,2,failure,no
39,technician,divorced,secondary,no,yes,no,1,nonexistent,no
48,technician,married,basic,no,no,yes,1,nonexistent,no
54,blue-collar,married,unknown,no,yes,no,3,nonexistent,no
38,blue-collar,married,unknown,unknown,no,yes,1,nonexistent,no
35,blue-collar,married,basic,no,yes,no,2,nonexistent,no
45,blue-collar,married,primary,no,yes,yes,2,success,yes
46,management,married,college,no,yes,no,6,nonexistent,no
55,admin.,married,basic,no,yes,no,1,failure,no
54,blue-collar,married,basic,no,yes,no,2,nonexistent,no
45,admin.,single,college,no,yes,no,1,nonexistent,no
42,self-employed,married,college,no,no,no,2,nonexistent,no
40,blue-collar,married,primary,unknown,yes,no,1,nonexistent,no
32,admin.,single,secondary,no,yes,no,11,nonexistent,no
67,housemaid,divorced,secondary,no,yes,no,2,success,yes
73,retired,married,college,no,yes,no,1,nonexistent,yes
32,management,single,basic,no,no,no,7,nonexistent,no
33,technician,married,college,no,no,no,2,nonexistent,no
48,self-employed,married,college,unknown,yes,no,2,nonexistent,no
60,unknown,married,college,no,no,yes,1,nonexistent,no
30,blue-collar,married,basic,no,no,no,1,nonexistent,yes
25,admin.,married,college,no,yes,no,1,nonexistent,no
29,technician,single,college,no,no,no,1,nonexistent,no
25,admin.,married,primary,no,no,yes,4,nonexistent,no
53,unknown,married,unknown,unknown,no,no,4,nonexistent,no
36,self-employed,married,basic,unknown,no,no,1,nonexistent,no
45,blue-collar,single,basic,no,no,no,1,nonexistent,no
31,technician,single,college,no,no,no,1,nonexistent,yes
54,admin.,married,unknown,unknown,no,no,16,nonexistent,no
51,blue-collar,married,basic,unknown,yes,no,2,nonexistent,no
39,services,married,basic,no,no,no,2,nonexistent,no
51,blue-collar,married,primary,no,yes,no,1,failure,yes
38,management,married,college,no,yes,no,1,nonexistent,yes
30,admin.,single,college,no,no,no,1,nonexistent,no
34,admin.,married,basic,no,yes,yes,2,nonexistent,no
27,self-employed,single,college,no,yes,yes,1,nonexistent,no
42,technician,single,college,no,yes,yes,8,nonexistent,no
30,technician,single,college,no,no,yes,2,nonexistent,no
49,blue-collar,married,basic,no,no,no,2,nonexistent,no
52,blue-collar,divorced,basic,no,yes,no,1,failure,no
51,management,married,college,no,yes,no,2,failure,no
60,retired,married,unknown,no,yes,no,2,nonexistent,yes
64,unemployed,divorced,basic,no,yes,no,2,nonexistent,no
74,retired,married,college,no,no,no,1,nonexistent,no
46,services,married,primary,no,no,no,3,nonexistent,no
41,entrepreneur,divorced,secondary,no,yes,no,1,nonexistent,no
50,blue-collar,married,basic,unknown,yes,no,1,nonexistent,no
29,technician,single,secondary,no,yes,no,1,nonexistent,no
44,self-employed,married,basic,no,yes,no,1,nonexistent,no
23,student,single,primary,no,yes,no,2,failure,yes
38,unemployed,married,basic,unknown,no,no,1,nonexistent,yes
36,admin.,married,primary,no,no,no,3,nonexistent,no
31,management,married,college,no,yes,no,2,nonexistent,no
41,admin.,married,college,no,yes,no,1,nonexistent,no
39,unemployed,married,college,no,yes,no,2,nonexistent,no
36,technician,divorced,secondary,unknown,no,no,4,nonexistent,no
34,blue-collar,married,secondary,no,yes,no,3,nonexistent,no
37,management,married,college,no,yes,no,1,success,yes
36,housemaid,married,basic,no,no,no,2,nonexistent,no
43,services,married,primary,no,no,no,1,nonexistent,no
47,blue-collar,married,basic,no,yes,yes,3,nonexistent,no
42,blue-collar,divorced,basic,no,unknown,unknown,1,nonexistent,no
36,technician,single,secondary,no,no,no,2,nonexistent,yes
46,services,married,basic,no,no,yes,2,nonexistent,no
35,admin.,divorced,primary,no,no,no,3,nonexistent,no
35,technician,single,college,no,yes,no,1,nonexistent,no
35,management,single,primary,no,yes,yes,2,nonexistent,no
37,admin.,single,primary,no,yes,no,4,nonexistent,no
31,admin.,single,college,no,no,no,1,nonexistent,no
49,technician,divorced,primary,no,yes,no,1,nonexistent,no
34,technician,married,basic,no,yes,no,1,nonexistent,no
35,student,single,college,unknown,no,no,1,nonexistent,yes
58,retired,divorced,primary,no,yes,no,2,nonexistent,no
41,admin.,married,primary,no,yes,no,1,failure,no
39,services,married,primary,no,yes,yes,1,nonexistent,no
49,blue-collar,married,basic,unknown,no,no,1,nonexistent,no
33,management,married,college,no,no,no,3,nonexistent,no
27,services,single,primary,unknown,no,no,4,nonexistent,yes
35,blue-collar,married,basic,no,yes,no,1,nonexistent,no
27,admin.,single,primary,no,yes,no,1,nonexistent,no
29,blue-collar,married,primary,no,yes,no,1,nonexistent,no
50,blue-collar,married,basic,unknown,yes,no,2,nonexistent,no
33,admin.,married,college,no,no,no,6,nonexistent,no
31,student,single,college,no,no,no,3,success,yes
27,blue-collar,single,basic,no,yes,no,2,failure,no
34,technician,married,college,no,yes,no,1,nonexistent,yes
37,services,married,basic,unknown,yes,no,1,nonexistent,no
33,blue-collar,single,basic,no,no,yes,3,failure,no
25,unemployed,married,primary,unknown,unknown,unknown,10,nonexistent,no
59,retired,married,college,no,yes,no,18,nonexistent,no
30,technician,single,primary,no,no,no,4,nonexistent,yes
42,blue-collar,married,basic,unknown,no,no,9,nonexistent,no
41,self-employed,single,college,no,yes,yes,17,nonexistent,no
32,technician,single,primary,no,no,no,5,nonexistent,no
29,technician,single,college,no,no,no,3,nonexistent,no
41,technician,married,secondary,no,yes,no,2,nonexistent,yes
42,technician,married,college,unknown,yes,no,1,nonexistent,no
29,student,single,college,no,yes,no,1,nonexistent,no
31,housemaid,single,primary,no,yes,no,3,nonexistent,no
31,admin.,single,primary,no,yes,no,2,nonexistent,no
43,admin.,married,college,no,yes,yes,1,nonexistent,no
31,admin.,single,college,no,no,no,1,nonexistent,no
59,admin.,married,college,no,yes,yes,9,nonexistent,no
32,housemaid,single,college,unknown,yes,no,4,nonexistent,no
24,student,single,primary,no,no,no,1,failure,no
34,services,married,primary,no,no,no,1,nonexistent,no
46,self-employed,married,basic,unknown,yes,no,1,failure,no
56,management,married,college,no,no,yes,1,nonexistent,no
34,blue-collar,married,basic,no,no,no,3,nonexistent,no
33,admin.,married,college,no,yes,no,1,success,yes
40,admin.,married,unknown,no,no,no,4,nonexistent,no
33,admin.,single,primary,no,yes,no,1,nonexistent,no
75,retired,married,college,no,yes,no,1,failure,yes
58,blue-collar,married,secondary,no,no,no,12,nonexistent,no
30,blue-collar,single,unknown,no,yes,yes,1,nonexistent,no
30,admin.,married,primary,no,yes,no,6,nonexistent,no
54,retired,single,primary,no,yes,no,3,nonexistent,no
32,technician,single,college,no,yes,no,13,nonexistent,no
55,retired,divorced,secondary,no,no,yes,2,nonexistent,no
29,admin.,single,college,no,no,no,1,nonexistent,no
31,technician,married,secondary,no,no,no,2,nonexistent,no
25,technician,divorced,college,no,yes,no,2,nonexistent,no
35,blue-collar,married,basic,no,yes,no,1,success,no
49,technician,married,basic,no,yes,no,6,nonexistent,no
35,blue-collar,married,basic,unknown,yes,no,1,nonexistent,no
36,admin.,married,college,no,no,no,1,failure,no
32,blue-collar,married,basic,no,no,yes,4,nonexistent,no
34,admin.,single,college,no,no,no,4,failure,no
29,technician,single,college,no,yes,no,1,nonexistent,no
49,management,married,primary,no,no,no,1,nonexistent,no
42,technician,married,secondary,unknown,yes,no,10,nonexistent,no
34,technician,married,secondary,no,yes,yes,3,nonexistent,no
53,technician,married,secondary,no,yes,no,5,failure,no
27,technician,single,college,no,yes,no,1,failure,yes
23,admin.,single,college,no,yes,no,1,failure,no
38,admin.,single,college,no,yes,no,2,nonexistent,no
28,services,married,primary,no,yes,yes,2,nonexistent,no
43,blue-collar,married,basic,no,yes,no,2,nonexistent,no
42,admin.,married,college,no,yes,no,5,nonexistent,no
49,blue-collar,single,basic,unknown,no,no,1,nonexistent,no
52,services,married,secondary,unknown,yes,yes,3,nonexistent,no
23,admin.,single,college,no,yes,yes,3,nonexistent,no
34,technician,married,secondary,no,yes,yes,7,nonexistent,no
36,services,married,primary,no,no,no,3,nonexistent,no
54,admin.,single,college,unknown,no,no,2,nonexistent,no
39,services,divorced,basic,no,yes,no,1,nonexistent,no
54,technician,married,college,unknown,no,no,4,nonexistent,no
50,blue-collar,married,secondary,unknown,yes,no,1,failure,no
35,technician,single,secondary,no,unknown,unknown,2,nonexistent,no
26,admin.,single,college,no,yes,no,1,failure,no
29,entrepreneur,married,basic,no,no,no,4,nonexistent,no
58,admin.,married,college,no,no,no,2,nonexistent,no
34,management,married,college,unknown,yes,no,1,nonexistent,no
40,admin.,married,college,no,yes,yes,1,nonexistent,no
25,admin.,single,college,no,no,no,2,nonexistent,no
32,admin.,married,primary,no,no,no,2,nonexistent,no
41,admin.,married,college,no,no,no,3,nonexistent,yes
41,blue-collar,married,basic,no,yes,no,3,nonexistent,no
36,blue-collar,married,basic,unknown,yes,no,1,failure,no
54,entrepreneur,married,secondary,no,yes,yes,1,nonexistent,no
25,student,single,unknown,unknown,yes,no,1,failure,no
36,services,divorced,basic,no,yes,no,2,nonexistent,no
38,admin.,single,secondary,no,no,no,1,nonexistent,no
37,services,single,basic,no,no,no,1,nonexistent,no
25,admin.,married,unknown,no,no,no,1,nonexistent,no
52,admin.,married,primary,no,yes,no,2,failure,no
23,technician,single,primary,no,no,no,1,nonexistent,no
50,admin.,married,college,no,no,no,1,nonexistent,no
46,technician,married,secondary,no,no,yes,1,nonexistent,no
43,blue-collar,single,basic,unknown,no,no,3,nonexistent,no
38,management,divorced,college,no,no,no,2,failure,no
53,admin.,single,basic,no,yes,yes,2,nonexistent,no
28,services,married,primary,no,no,no,1,nonexistent,no
56,technician,married,college,unknown,no,no,19,nonexistent,no
48,admin.,divorced,college,no,no,no,1,nonexistent,yes
33,blue-collar,married,basic,no,yes,yes,1,nonexistent,no
38,admin.,married,primary,unknown,no,no,4,nonexistent,no
48,housemaid,married,basic,unknown,no,yes,1,nonexistent,no
50,self-employed,married,basic,unknown,unknown,unknown,3,nonexistent,no
29,admin.,married,college,no,yes,yes,3,nonexistent,no
31,unemployed,married,basic,no,yes,no,1,nonexistent,no
34,blue-collar,married,basic,no,yes,no,5,nonexistent,no
21,student,single,primary,no,yes,yes,2,nonexistent,yes
34,services,single,primary,no,yes,no,3,failure,no
48,technician,divorced,secondary,no,no,no,1,nonexistent,no
37,blue-collar,married,basic,unknown,yes,no,1,nonexistent,no
35,admin.,single,college,no,yes,no,1,nonexistent,no
31,services,divorced,primary,no,yes,yes,1,nonexistent,no
64,unknown,married,unknown,no,yes,no,4,nonexistent,yes
34,admin.,single,primary,no,no,no,1,nonexistent,no
59,retired,married,secondary,unknown,yes,no,8,nonexistent,no
59,retired,married,secondary,no,no,no,3,nonexistent,no
33,admin.,single,primary,no,no,no,1,nonexistent,no
29,blue-collar,divorced,basic,no,yes,no,4,failure,no
34,admin.,single,basic,no,no,no,11,nonexistent,no
27,admin.,married,primary,no,yes,yes,1,nonexistent,no
49,admin.,married,primary,no,yes,no,2,nonexistent,no
36,technician,divorced,basic,no,no,no,1,nonexistent,no
46,blue-collar,single,basic,unknown,yes,no,1,nonexistent,no
31,services,married,primary,no,unknown,unknown,2,failure,no
36,technician,married,college,no,yes,yes,4,nonexistent,no
32,entrepreneur,married,primary,no,yes,no,1,failure,no
54,management,married,college,no,yes,no,1,nonexistent,no
28,technician,divorced,college,no,yes,no,1,nonexistent,no
54,management,married,college,no,no,no,1,failure,yes
57,admin.,married,basic,no,no,no,1,failure,no
49,unemployed,married,secondary,no,no,no,1,nonexistent,no
45,blue-collar,married,basic,unknown,yes,no,3,nonexistent,no
53,services,married,college,no,no,no,1,failure,no
32,blue-collar,married,basic,no,yes,no,3,nonexistent,no
29,student,single,unknown,no,no,no,4,nonexistent,no
49,blue-collar,married,basic,unknown,no,yes,3,nonexistent,no
50,blue-collar,married,basic,unknown,yes,no,3,nonexistent,no
37,technician,married,secondary,no,yes,no,6,nonexistent,no
25,blue-collar,married,basic,unknown,yes,no,3,nonexistent,no
35,self-employed,single,college,no,no,yes,1,success,no
51,unemployed,married,basic,no,no,no,2,failure,yes
26,entrepreneur,married,unknown,no,no,no,3,nonexistent,no
38,management,married,basic,unknown,no,no,1,nonexistent,yes
54,admin.,single,college,no,no,no,1,nonexistent,yes
40,blue-collar,married,basic,unknown,no,no,5,nonexistent,no
43,blue-collar,married,basic,no,no,yes,2,nonexistent,no
34,technician,divorced,secondary,no,yes,no,1,failure,no
42,technician,married,secondary,no,yes,yes,2,nonexistent,no
47,admin.,divorced,college,no,yes,no,2,nonexistent,no
41,admin.,married,college,no,no,yes,3,nonexistent,no
31,management,married,basic,no,no,yes,2,nonexistent,no
36,blue-collar,married,primary,unknown,no,no,4,nonexistent,no
43,blue-collar,single,secondary,no,no,no,1,nonexistent,no
31,unemployed,married,college,no,no,no,1,nonexistent,no
50,admin.,married,college,no,no,no,2,failure,yes
26,self-employed,single,college,no,yes,no,2,nonexistent,no
37,unemployed,unknown,college,no,no,no,1,nonexistent,no
32,blue-collar,single,basic,no,yes,no,17,nonexistent,no
38,services,married,basic,no,no,yes,2,nonexistent,no
48,technician,married,secondary,no,no,no,1,failure,no
46,blue-collar,married,basic,unknown,yes,no,2,nonexistent,no
48,self-employed,married,basic,unknown,yes,no,2,nonexistent,no
38,unknown,divorced,primary,unknown,yes,no,3,nonexistent,no
55,retired,married,basic,unknown,no,yes,4,nonexistent,no
29,blue-collar,single,basic,no,no,no,1,nonexistent,no
36,services,married,primary,unknown,no,no,1,nonexistent,no
33,admin.,single,primary,no,no,yes,1,nonexistent,no
47,management,married,college,no,no,no,3,nonexistent,no
47,admin.,married,basic,no,no,no,1,nonexistent,no
32,technician,single,college,no,yes,no,1,nonexistent,no
38,technician,single,primary,no,no,no,2,nonexistent,no
38,unknown,married,unknown,no,yes,no,10,nonexistent,no
26,unemployed,single,basic,no,yes,no,3,nonexistent,no
38,admin.,single,college,no,no,no,1,nonexistent,no
41,services,married,primary,unknown,yes,no,2,nonexistent,yes
39,self-employed,divorced,primary,no,no,no,1,success,yes
48,admin.,divorced,primary,no,no,no,2,nonexistent,no
35,admin.,single,college,no,yes,no,5,nonexistent,no
28,admin.,single,college,no,no,yes,2,nonexistent,no
35,blue-collar,married,basic,no,no,no,2,nonexistent,no
34,technician,married,primary,no,no,no,1,nonexistent,no
36,blue-collar,married,basic,no,no,yes,1,nonexistent,no
28,blue-collar,married,basic,unknown,no,no,1,nonexistent,no
55,admin.,married,basic,no,yes,yes,2,nonexistent,no
50,technician,married,primary,no,yes,no,1,failure,yes
35,blue-collar,divorced,basic,no,unknown,unknown,3,nonexistent,no
58,unknown,married,basic,no,yes,no,1,failure,yes
47,blue-collar,married,secondary,no,yes,no,4,failure,no
29,blue-collar,single,basic,no,no,no,1,nonexistent,no
37,entrepreneur,single,basic,no,yes,no,1,success,no
35,admin.,married,college,no,no,no,4,nonexistent,yes
31,self-employed,married,college,no,yes,no,2,nonexistent,no
85,housemaid,divorced,basic,unknown,yes,no,2,nonexistent,no
29,technician,single,basic,no,no,no,1,nonexistent,no
34,blue-collar,married,basic,no,yes,no,1,nonexistent,no
46,admin.,single,college,no,yes,yes,7,nonexistent,no
57,management,married,basic,unknown,yes,no,5,failure,no
32,technician,single,college,no,yes,no,5,nonexistent,no
59,retired,married,basic,no,no,no,4,nonexistent,no
55,admin.,married,secondary,no,yes,yes,1,nonexistent,no
33,housemaid,single,college,unknown,yes,no,3,nonexistent,no
34,blue-collar,single,basic,no,no,no,3,nonexistent,no
30,self-employed,married,secondary,no,no,no,2,failure,no
34,blue-collar,single,basic,no,no,no,2,failure,no
47,blue-collar,single,basic,unknown,yes,no,1,nonexistent,no
33,admin.,married,primary,unknown,yes,no,1,nonexistent,no
33,services,married,primary,no,unknown,unknown,1,failure,no
48,services,married,basic,no,no,no,6,nonexistent,no
63,technician,married,unknown,no,yes,no,1,nonexistent,no
26,blue-collar,married,secondary,no,yes,no,2,nonexistent,no
24,admin.,single,primary,unknown,yes,no,1,nonexistent,no
30,services,married,primary,unknown,yes,no,1,nonexistent,no
29,blue-collar,single,basic,no,yes,no,9,failure,no
56,management,married,college,no,no,no,2,nonexistent,no
36,blue-collar,single,basic,no,yes,yes,3,nonexistent,yes
47,services,married,unknown,no,no,no,2,nonexistent,no
34,blue-collar,married,basic,no,no,no,3,nonexistent,no
31,self-employed,married,college,no,no,no,2,nonexistent,no
59,unemployed,married,basic,unknown,yes,no,9,nonexistent,yes
36,blue-collar,married,basic,unknown,yes,no,3,nonexistent,no
42,blue-collar,married,basic,no,no,no,5,nonexistent,no
31,entrepreneur,divorced,primary,no,yes,no,1,nonexistent,no
36,blue-collar,married,secondary,unknown,yes,no,5,nonexistent,no
60,retired,married,basic,unknown,yes,no,2,nonexistent,no
30,blue-collar,single,basic,no,no,no,1,nonexistent,no
27,blue-collar,single,basic,no,no,yes,2,nonexistent,no
30,admin.,married,college,no,yes,yes,6,nonexistent,no
43,technician,single,basic,no,yes,no,2,nonexistent,no
56,unemployed,divorced,college,unknown,yes,no,1,nonexistent,no
42,technician,single,primary,unknown,yes,no,1,nonexistent,no
56,housemaid,divorced,basic,unknown,yes,no,5,nonexistent,no
39,services,single,primary,unknown,no,no,1,nonexistent,no
32,technician,single,college,no,yes,no,2,nonexistent,no
38,technician,married,primary,no,unknown,unknown,1,nonexistent,no
28,management,single,college,no,no,no,5,nonexistent,yes
31,admin.,married,college,no,yes,no,4,nonexistent,no
50,entrepreneur,married,college,no,yes,no,3,nonexistent,no
32,blue-collar,single,primary,no,no,yes,3,nonexistent,no
56,self-employed,married,college,no,no,no,3,failure,no
42,admin.,married,primary,no,yes,no,1,nonexistent,no
38,technician,married,secondary,unknown,no,no,2,nonexistent,no
36,admin.,single,college,no,no,no,5,nonexistent,no
52,retired,married,basic,unknown,unknown,unknown,4,nonexistent,no
55,technician,married,college,no,no,no,1,nonexistent,no
71,retired,married,basic,no,yes,yes,1,success,no
30,admin.,single,college,no,no,no,2,nonexistent,yes
30,admin.,divorced,college,no,yes,no,1,nonexistent,no
50,blue-collar,divorced,basic,no,no,no,5,nonexistent,no
57,retired,married,college,no,yes,no,1,failure,no
37,admin.,single,primary,no,no,no,2,success,yes
39,admin.,single,college,no,yes,no,1,nonexistent,no
55,blue-collar,married,secondary,unknown,yes,no,1,nonexistent,no
27,student,single,secondary,no,no,no,1,nonexistent,no
35,unknown,married,basic,no,no,no,2,nonexistent,no
59,retired,unknown,college,unknown,no,no,1,nonexistent,no
42,management,married,college,unknown,yes,no,5,nonexistent,no
26,admin.,single,basic,no,yes,yes,6,nonexistent,no
